#HydraHarp 400  Histogram Data			07/09/2021 04:48:03 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	4	8	12	16	20	24	28	
#ns/bin
0.0040	0.0040	0.0040	0.0040	0.1280	0.1280	0.1280	0.1280	
#counts
0	0	0	1	28	17	33	32	
0	0	0	0	31	24	33	41	
0	0	0	2	11	11	11	17	
0	0	1	1	10	7	7	12	
0	0	0	0	6	3	6	9	
0	0	0	0	4	7	6	7	
0	0	0	0	10	10	9	16	
0	0	0	0	21	16	24	29	
1	1	0	1	55	43	66	65	
1	1	0	0	109	96	133	175	
2	2	0	0	267	247	282	372	
4	4	0	0	525	452	598	691	
1	4	0	0	1141	994	1228	1507	
1	1	0	0	3075	2628	3280	3677	
3	4	1	0	7683	6243	7969	8390	
3	3	0	1	10774	8884	11547	11896	
4	0	1	0	5125	4241	5383	5881	
1	2	1	0	2032	1720	2122	2455	
1	3	0	0	830	699	904	1095	
1	1	0	0	381	368	451	525	
0	0	0	1	194	191	233	280	
0	1	2	2	82	76	99	97	
0	0	1	0	24	37	32	52	
0	0	0	0	18	13	21	21	
0	0	0	1	8	10	7	8	
0	0	0	2	4	3	6	7	
0	0	1	0	8	8	2	4	
0	0	0	1	13	15	11	9	
0	0	1	1	30	25	30	21	
0	0	1	0	46	23	45	42	
0	0	0	0	11	16	19	14	
0	0	0	0	9	7	10	21	
0	0	0	0	12	6	15	14	
0	0	0	0	16	4	6	18	
0	0	0	1	4	2	3	3	
0	0	1	0	2	2	2	4	
0	0	0	0	0	1	4	2	
0	0	0	0	1	0	1	0	
0	0	0	2	0	0	1	1	
0	1	0	0	0	0	0	0	
0	0	0	0	2	0	0	0	
0	0	0	0	1	1	0	1	
0	0	0	0	1	1	0	1	
0	0	0	0	2	2	1	9	
0	0	0	0	5	5	3	3	
0	0	0	0	1	1	1	3	
0	0	0	0	0	0	2	0	
0	0	0	0	0	1	2	3	
0	0	0	0	1	2	1	1	
0	0	0	0	0	2	1	0	
0	0	0	0	1	0	2	0	
0	0	0	0	1	0	0	5	
0	0	0	1	1	0	2	4	
0	0	0	0	1	0	0	3	
0	0	0	0	0	0	0	2	
2	0	0	0	0	0	0	0	
1	1	0	0	0	0	0	0	
0	1	0	0	1	0	0	0	
3	4	0	0	0	0	0	0	
3	1	0	0	0	1	0	1	
4	4	0	0	0	0	0	1	
4	6	0	2	0	0	0	1	
8	4	0	0	0	0	0	0	
7	7	1	0	0	0	0	0	
8	9	1	2	0	0	0	0	
18	10	0	0	0	0	0	0	
7	12	1	0	1	0	0	0	
3	5	0	0	0	0	0	0	
